Proposal,Beamline,Experiment start,Experiment end,User Affiliation,Department,Overall,Scientific support,Technical support,Beamline hardware,Beamline software,Machine operation,DUO,Experiment comments,Infrastructure comment,Overall comments,Remarks,Report submitted
20110273,MX,03/06/2012,03/06/2012,SARomics Biostructures AB,,5,0,3,2,5,5,0,Support from the on-call staff at the beamline was excellent but there was a problem with the Tango server that added > 20s overhead to each of our exposures and meant that only 10% of the effective beam time was available. This would have required a restart of the Tango server but there is no support infrastructure in place for such an intervention on a Sunday.,Didn't use any of this.,It was successful but could have been done in 20% of the time given proper function of the Tango server.,,07/06/2012
20120022,I1011,04/03/2013,09/03/2013,Uppsala University,"Department of Physics and Astronomy, Materials Physics",3,3,5,4,3,5,4,"Scientific: Good general support, but facility staff are not experienced in magnetic measurements so we have to handle that part ourselves. 
Technical: excellent, especially Alexei Preobrajenski's effort late Friday night. 
Beamline hardware: please fix the flow sensor cable that was making trouble Friday night! Otherwise, best operational quality ever in my experience. ",Didn't use chemistry lab or clean room. DUO is a lot better than the previous system.,This could be 4 stars depending on where the analysis ends up. We could measure almost everything. ,,18/03/2013
20130371,I711,14/05/2014,15/05/2014,University of Copenhagen,Department of Pharmacy,0,4,4,4,3,4,5,,Didn't use lab facilities ,It was a study visit not for doing experiments ,,23/05/2014
20120244,I4,26/11/2012,03/12/2012,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),Solid-State Physics,3,5,5,4,5,5,5,"Heating/cooling facilities in the prep chamber could have been improved. 
Sputter gun was defect.",Didn't use the laboratory facilities,"Unfortunately, the systems chosen (CoO(111) and CoO(100) films grown on Ir(100))didn't show clear bands,though the films' preparation was apparently fine.",,17/12/2012
20120383,I811,07/06/2013,09/06/2013,Umeå University,"Department of Applied Physics and Electronics, Energy Technology and Thermal Process Chemistry",5,5,5,5,5,4,4,"It was working as it should, so very content! = )","Did'nt use the office service at all, the beamline manager took care of it, so pleased with that help.
Didn't use laboratory facilities.",Got good results and pleased with the beam-time.,,18/06/2013
20130129,MX,08/11/2013,09/11/2013,Lund University,Department of Experimental Medical Science,4,5,5,4,4,4,3,"Very good support, even when the sample changer was jammed, the help was near and problems were solved very fast.  ","Difficult to evaluate, because had only 2 hours of beam time for quick testing.",,,17/11/2013
20110374,I911-4,21/02/2012,24/02/2012,University of Copenhagen,Department of Pharmacy,2,5,3,4,4,2,5,Problem with the detector. We lost at least one and half day of beamtime,Difficulties to find organic chemicals for cleaning.,"The low success level is due to the major problem that we had with the detector. The detector (problem to cool the detector to the required temperature) was not working for a day and half of our beamtime. In addition, it was not working in its optimal condition during the rest of the 3 days beamtime (at least 50% lost of our planned investigations). The quality of the obtained images is not good and it is also hard to subtract the scatter, since the background noise was changing from time to time, due to the high temperature of the detector.",,02/03/2012
20110267,MX,23/02/2012,24/02/2012,University of Copenhagen,Department of Drug Design and Pharmacology,5,5,5,5,5,5,4,The robot worked really nice,Duo - it would be nice with a name and not just the project number at the DUO,,,10/03/2012
0,MX,27/03/2012,28/03/2012,SARomics Biostructures AB,,4,4,4,4,4,4,2,Good if the liquid nitrogen would have been filled up in the morning to make the start up quicker. It took 1.5 hours to find a container and fill nitrogen container and cool the stream below 120 K. Thus could start at 9:30.,DUO problems to open this report (on the 27/3). No applet or information about injection working on the internet or in the coffee room in the morning.,The equipment worked well! Though the slits needed manual adjustment (I know this) but it could be a problem for another user since the slits are not not correctly adjusted from the MAR program.,,29/03/2012
20120308,I911-4,17/05/2013,20/05/2013,Polytechnic University of Marche,Department of Life and Environmental Sciences,4,4,4,4,4,4,5,,"During the week-end days, a deeper cleaning of the common spaces (toilets!) can be desirable.",,,28/05/2013
20120349,I911-4,20/02/2013,23/02/2013,University of Jyväskylä,Department of Biological and Environmental Science,5,4,5,5,4,3,2,,Enhancements to web services are needed. Neededn information hard to find.,,,04/03/2013
20140450,I811,19/05/2015,25/05/2015,Moscow Engineering Physics Institute,Physics of Solid State and Nanosystems,5,5,5,5,5,5,5,We have managed to measure all the samples  we planned and even a little bit more. ,"Essential support of user office services, smart communication before and during the visit, help with accomodation. 
We also used chemistry lab possibilities quite actively to prepare the the samples to measure. ",,,03/06/2015
20140110,I411,14/04/2015,20/04/2015,University of Tartu,Institute of Chemistry,5,5,4,3,3,3,4,Injection takes very long time for the ring MaxII. The beam was sometimes unstable after injection...,"Ethanol and deionized water ended sometimes in the evenings in the small chemistry laboratory at BL I311. There was also shortage of glass flasks and sample storage containers, small vials.",,,20/05/2015
20130351,I811,11/04/2014,14/04/2014,University of Szeged,Department of Inorganic and Analytical Chemistry,5,5,5,5,5,5,5,"Everything was perfect, we could do all the measurements we wanted smoothly.",Everybody was very helpful.,We have meaured in MAX-lab several times in recent years. This beamtime was one of the most successful and pleasant ones. ,,16/04/2014
20140331,SPECIES-RIXS,02/11/2015,09/11/2015,Helmholtz-Zentrum Berlin,BESSY,3,5,5,4,4,2,5,"some bugs in beamline software, mono and undulator movement crashed once, ring did not work properly (see below)",everything great as always!,"ring did not work properly, resolution of PGS spectrometer only ~100 meV whereas we hoped for ~30 meV, signal of samples extremely weak. The grace spectrometer was not calibrated and thus could not be used for our alternative measurement plans. But we managed to identify the interesting regions and excitation energies; so we probably need to re-measure the samples once SPECIES has been relocated to the MAX IV small ring","update ""software"" and ""endstation"" parts. Add a comments field for both parts
Also good might be software feature whishlist",17/11/2015
20120085,I411,28/09/2012,01/10/2012,University of Oulu,Department of Physics,5,5,5,5,5,5,5,Very good and successful experiment.,Everything is nice :),,,09/10/2012
20110343,I811,26/06/2012,28/06/2012,University of Babes-Bolyai,Faculty of Chemistry and Chemical Engineering,5,5,5,5,5,5,5,All the equipments and softwares functioned correctly during the beam-time.,Everything was in order as usual.,We managed to measure all of our samples that were brought to MAX-Lab for EXAFS measurments.,,01/07/2012
20110258,I4,07/05/2012,21/05/2012,Universidad Autonoma de Madrid,Departamento de Fisica de la Materia Condensada,2,4,4,4,3,3,4,The last day was a problem with the software of the line and there was no beam.,Everything was ok,"We tried to evaporate organic molecules in the metallic substrate, but we had problems, we could not made this experiment. Fortunately we had another simple experiment that we could make.",,29/05/2012
20120320,I811,31/01/2013,04/02/2013,University of Szeged,Department of Inorganic and Analytical Chemistry,5,5,5,5,5,5,5,"Everything went smoothly, we could measure all the samples we planed, and got all possible support.",Everything was perfect.,"This is not the first time we were at MaxLab for measurements, however, this was our most successful visit.",,06/02/2013
20140125,I811,23/10/2014,27/10/2014,Uppsala University,"Department of Engineering Sciences, Solid State Physics",4,5,5,5,3,2,5,"There were a lot of technical problems during that week, but we understand that it was all caused by problems after the regular maintanence week in October.",Everything with the infrastructure was ok.,We are exceptionally thankful to all the help that Kajsa provided. She really helped us fix some problems with our experimental procedure. Our in situ measurements went fine. ,,03/11/2014
20140131,I711,18/11/2014,21/11/2014,Institute for Energy Technology (IFE),Department of Physics,5,5,5,5,5,5,5,Everything worked as expected and we got expected results.,Everything worked as expected and we got expected results.,,,28/11/2014
20130188,I3,21/10/2013,28/10/2013,University of Tartu,Institute of Physics,4,4,5,4,4,4,5,"Minor problems appear with co-scanning of undulator, M4 mirror and primary monochromator",Everything works perfect,Generally the beamtime was successful however a few minor things which exist in all setups didnt allow to use the full power of the beamline ,,05/11/2013
20120197,D1011,19/02/2013,05/03/2013,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Department of Molecular Physics,5,5,5,5,5,5,5,"The experimental endstation is constantly improved, as we found to our great satisfaction. Support by beamline scientist excellent as always. Second endstation very well equipped now. A truly outstanding research infrastructure!","Excellent as always. Free coffee much appreciated, this is not just a convenience, if also helps to create a healthy atmosphere of informal discussions, and thus enhances productivity.",,,15/03/2013
20140525,I811,28/04/2015,04/05/2015,Technische Universität Berlin,Fakultät II - Technische Chemie,4,5,5,5,5,5,5,,excellent common areas really helped in working the night shifts! Thank you!,,,12/05/2015
20140200,I711,29/04/2015,04/05/2015,Aarhus University,Department of Chemistry,5,5,5,5,5,4,5,The experiments ran smoothly with little downtime.,Excellent facilities for our research.,,,27/05/2015
20140480,I811,13/04/2015,16/04/2015,University of Silesia,Institute of Physics,4,5,5,4,5,2,5,"A sample changer for XAS experiments would be welcomed.
At least 12 h (1/2 shift) were lost due to: wiggler issues on day 1 and repeating injection issues.",Excellent support. Thank you.,,,24/04/2015
20120058,I511-3,04/03/2013,11/03/2013,Manchester Metropolitan University,School of Science and the Environment,3,5,5,5,5,4,5,Excellent beamline and associated support.,"Excellent user office support, e.g. provision of travel information.","Some issues with low sample concentrations and possible contamination of beamline components (e.g. I0 mesh and NEXAFS detector) with high concentration standards. Now understood, these issues can be overcome in a future visit. I am looking forward to visiting the upgraded beamline in the future.",,19/03/2013
20120085,I411,25/09/2012,01/10/2012,Jozef Stefan Institute,Low and Medium Energy Physics-F2,5,5,5,5,5,5,5,,"Excellent! Common areas (kitchen, sleep room) are best I've ever seen. Keep them the way they are!",Above expectations.,,09/10/2012
20120338,I911-4,20/06/2013,24/06/2013,University of Southampton,Faculty of Natural and Environmental Sciences,5,5,5,5,4,5,5,an excellent 4-day session with only 1hr of unscheduled down time. excellent technical support; very welcoming and always there when needed. ,"Facilities are excellent and the attention to detail is much appreciated (e.g. the design, quality and ease of use of the sample holders). the high quality non-technical facilities (rest room, kitchen etc) make the long days and nights bearable.","the combination of excellent technical support, facilities, and environment make MAX-lab the best place in europe for our experiments!",,02/07/2013
20140051,D1011,17/11/2014,24/11/2014,Royal Institute of Technology (KTH),School of Information and Communication Technology,5,4,5,4,5,5,5,"Overall, my first experience with synchrotron based experiments was wonderful. Fortunately, I did not meet any difficulty during my one week stay at Maxlab.",Facilities are excellent.,,There is nothing much to add.,10/12/2014
20140068,D7,26/08/2014,01/09/2014,University of Jordan,Faculty of Pharmacy,5,5,5,4,3,5,5,everything was great. thank you all,"for this part, i suggest more than 5 stars.",only there was some difficulties in the software.  we had to repeat some runs because it failed to save.,,09/09/2014
20120149,MX,23/05/2013,25/05/2013,Jagiellonian University,Faculty of Chemistry,5,5,5,5,5,3,5,Unstable intensity of beamline 911-2 made data collection much longer than expected.,Full satisfaction.,We are grateful for making two beamlines available and help in freezing crystals.,,03/06/2013
20130211,I311-PEEM,17/09/2013,19/09/2013,Aberystwyth University,Institute of Mathematical and Physical Sciences,4,5,5,4,5,3,5,,Glassware in the Kemi-lab needs replenishing.,,,26/09/2013
20120219,I411,11/12/2012,17/12/2012,Lund University,"Department of Physics, Synchrotron Radiation Research",4,5,4,4,3,4,5,All necessary support was provided and the machine delivered photons more or less as expected.  There were two injections that took more than two hours to complete.  We also noted a large beam size for several hours after each injection.,Glögg on Lucia was very much appreciated!,The experiment was very complicated and the equipment itself was used in this configuration for the first time and the fact that it worked was a significant success.  The publishable scientific output will be data for two articles which is also a positive outcome.,"More information on the status of injection would be appreciated-even after a four hour injection users would like to know what the reason for the long injection is, and whether it can be expected again.  Better status updates from accelerator side.",26/12/2012
20140040,I911-4,20/09/2014,22/09/2014,Wageningen University,Laboratory of Physical Chemistry and Colloid Science,4,4,3,5,5,5,3,We were very happy,"good job, we like to return",we had a good time,,30/09/2014
